list_id,item,item_number,,,,
101,Open space outside of Reykjavik,1,,,,
101,Aurora Sky Station,2,,,,
101,Sommarøy,3,,,,
101,Haukadalur,4,,,,
101,Hammerfest,5,,,,
101,Arctic Guide Service,6,,,,
101,A Taste of Alaska Lodge,7,,,,
101,Winterlake Lodge,8,,,,
101,Kakslauttanen,9,,,,
102,Quantum of the Seas,1,,,,
102,Disney Fantasy,2,,,,
102,Disney Dream,3,,,,
102,Norwegian Epic,4,,,,
102,Oasis of the Seas,5,,,,
102,Allure of the Seas,6,,,,
102,Splendour of the Seas,7,,,,
102,Carnival Breeze,8,,,,
102,Celebrity Silhouette,9,,,,
102,Queen Mary 2,10,,,,
103,Apples,1,,,,
103,Bananas,2,,,,
103,Broccoli,3,,,,
103,Carrots,4,,,,
103,Cucumber,5,,,,
103,Grapes,6,,,,
103,Lemons,7,,,,
103,Lettuce,8,,,,
103,Onions,9,,,,
103,Oranges,10,,,,
103,Potatoes,11,,,,
103,Spinach,12,,,,
103,Strawberries,13,,,,
103,Tomatoes,14,,,,
103,Butter,15,,,,
103,Cheese,16,,,,
103,Eggs,17,,,,
103,Milk,18,,,,
103,Yogurt,19,,,,
103,Chicken,20,,,,
103,Ground Beef,21,,,,
103,Fish,22,,,,
103,Pork,23,,,,
103,Bacon,24,,,,
103,Deli Meat,25,,,,
103,Pasta,26,,,,
103,Rice,27,,,,
103,Beans,28,,,,
103,Soup,29,,,,
103,Coffee,30,,,,
103,Tea,31,,,,
103,Jelly,32,,,,
103,Peanut Butter,33,,,,
103,Ice Cream,34,,,,
103,French Fries,35,,,,
103,Frozen Vegetables,36,,,,
103,Frozen Pizza,37,,,,
103,Oil,38,,,,
103,Flour,39,,,,
103,Sugar,40,,,,
103,Bread,41,,,,
103,Cereal,42,,,,
103,Chips,43,,,,
103,Pretzels,44,,,,
103,Crackers,45,,,,
104,HEALTHY GRAINS,1,,,,
104,Whole grain sandwich bread,2,,,,
104,Whole grain crackers,3,,,,
104,Corn tortillas,4,,,,
104,Whole grain flour tortillas,5,,,,
104,Pasta,6,,,,
104,Rice,7,,,,
104,Low-sugar cereal,8,,,,
104,Tortilla chips,9,,,,
104,Whole grain muffins,10,,,,
104,HEARTY PROTEINS,11,,,,
104,Peanut or almond butter,12,,,,
104,Cheese slices or cheese sticks,13,,,,
104,Hummus,14,,,,
104,Lunch meats,15,,,,
104,Yogurt,16,,,,
104,Hard-boiled eggs,17,,,,
104,PORTABLE FRUITS AND VEGGIES,18,,,,
104,100% fruit juice,19,,,,
104,Apples,20,,,,
104,Bananas,21,,,,
104,Cherries,22,,,,
104,Plums,23,,,,
104,Orange wedges,24,,,,
104,Cherry tomatoes,25,,,,
104,Carrots,26,,,,
104,Snap peas,27,,,,
104,Edamame,28,,,,
104,Broccoli,29,,,,
104,Fruit cups,30,,,,
104,Applesauce cups,31,,,,
105,Avocado & cheese roll-ups,1,,,,
105,Salami & cream cheese sandwich,2,,,,
105,Chickpea and Cucumber Salad With Hummus,3,,,,
105,Spaghetti With Spinach and Sausage,4,,,,
106,My Little Pony,1,,,,
106,Hopscotch,2,,,,
106,Guess Who?,3,,,,
106,Moon Shoes,4,,,,
106,Lincoln Logs,5,,,,
106,Lite Brite,6,,,,
106,Transformers,7,,,,
106,Bop It!,8,,,,
106,Mr. Potato Head,9,,,,
106,Easy-Bake Oven,10,,,,
106,Skip-It,11,,,,
106,Operation,12,,,,
106,Tinker Toys,13,,,,
,,,,,,
