list_id,item,item_number,,,,
101,Open space outside of Reykjavik,1,,,,
101,Aurora Sky Station,2,,,,
101,Sommarøy,3,,,,
101,Haukadalur,4,,,,
101,Hammerfest,5,,,,
101,Arctic Guide Service,6,,,,
101,A Taste of Alaska Lodge,7,,,,
101,Winterlake Lodge,8,,,,
101,Kakslauttanen,9,,,,
102,"Manele Bay, Hawaii",1,,,,
102,"Myrtle Beach, South Carolina",2,,,,
102,"Nantucket, Massachusetts",3,,,,
102,"Kauna'oa Bay, Hawaii",4,,,,
102,"Clearwater Beach, Florida",5,,,,
102,"Coronado, California",6,,,,
102,"Cape May, New Jersey",7,,,,
102,"Martha's Vineyard, Massachusetts",8,,,,
102,"East Hampton, New York",9,,,,
102,"Cape Hatteras National Seashore, North Carolina",10,,,,
103,Quantum of the Seas,1,,,,
103,Disney Fantasy,2,,,,
103,Disney Dream,3,,,,
103,Norwegian Epic,4,,,,
103,Oasis of the Seas,5,,,,
103,Allure of the Seas,6,,,,
103,Splendour of the Seas,7,,,,
103,Carnival Breeze,8,,,,
103,Celebrity Silhouette,9,,,,
103,Queen Mary 2,10,,,,
104,Sportsman’s Club,1,,,,
104,Hopleaf,2,,,,
104,The Long Room,3,,,,
104,Happy Village,4,,,,
104,Kaiser Tiger,5,,,,
104,Pub Royale,6,,,,
104,Sidetrack,7,,,,
104,Handlebar Bar & Grill ,8,,,,
104,The Whistler,9,,,,
104,Sheffield’s Beer & Wine Garden,,,,,
104,Big Star,9,,,,
104,Howells & Hood,10,,,,
104,Moody’s Pub,11,,,,
105,PRODUCE,1,,,,
105,Apples,2,,,,
105,Bananas,3,,,,
105,Broccoli,4,,,,
105,Carrots,5,,,,
105,Cucumber,6,,,,
105,Grapes,7,,,,
105,Lemons,8,,,,
105,Lettuce,9,,,,
105,Onions,10,,,,
105,Oranges,11,,,,
105,Potatoes,12,,,,
105,Spinach,13,,,,
105,Strawberries,14,,,,
105,Tomatoes,15,,,,
105,DAIRY,16,,,,
105,Butter,17,,,,
105,Cheese,18,,,,
105,Eggs,19,,,,
105,Milk,20,,,,
105,Yogurt,21,,,,
105,MEAT,22,,,,
105,Chicken,23,,,,
105,Ground Beef,24,,,,
105,Fish,25,,,,
105,Pork,26,,,,
105,Bacon,27,,,,
105,Deli Meat,28,,,,
105,CANNED & DRY GOODS,29,,,,
105,Pasta,30,,,,
105,Rice,31,,,,
105,Beans,32,,,,
105,Soup,33,,,,
105,Coffee,34,,,,
105,Tea,35,,,,
105,Jelly,36,,,,
105,Peanut Butter,37,,,,
105,FROZEN,38,,,,
105,Ice Cream,39,,,,
105,French Fries,40,,,,
105,Frozen Vegetables,41,,,,
105,Frozen Pizza,42,,,,
105,BAKING & SNACKS,43,,,,
105,Oil,44,,,,
105,Flour,45,,,,
105,Sugar,46,,,,
105,Bread,47,,,,
105,Cereal,48,,,,
105,Cookies,49,,,,
105,Chips,50,,,,
105,Pretzels,51,,,,
105,Crackers,52,,,,
106,Parson’s Chicken & Fish,1,,,,
106,The Dawson,2,,,,
106,Bang Bang Pie Shop,3,,,,
106,90 Miles Cuban Cafe,4,,,,
106,Irazu,5,,,,
106,Honey Butter Fried Chicken,6,,,,
106,Boka,7,,,,
106,Gather,8,,,,
106,Portillo’s,9,,,,
106,Piccolo Sogno,10,,,,
106,Chez Joel,11,,,,
106,Parlor Pizza Bar,12,,,,
106,Bistro Campagne,13,,,,
106,La Sirena Clandestina,14,,,,
106,El Cid,15,,,,
106,Publican Quality Meats,16,,,,
107,HEALTHY GRAINS,1,,,,
107,Whole grain sandwich bread,2,,,,
107,Whole grain crackers,3,,,,
107,Corn tortillas,4,,,,
107,Whole grain flour tortillas,5,,,,
107,Pasta,6,,,,
107,Rice,7,,,,
107,Low-sugar cereal,8,,,,
107,Tortilla chips,9,,,,
107,Whole grain muffins,10,,,,
107,HEARTY PROTEINS,11,,,,
107,Peanut or almond butter,12,,,,
107,Cheese slices or cheese sticks,13,,,,
107,Hummus,14,,,,
107,Lunch meats,15,,,,
107,Yogurt,16,,,,
107,Hard-boiled eggs,17,,,,
107,PORTABLE FRUITS & VEGGIES,18,,,,
107,100% fruit juice,19,,,,
107,Apples,20,,,,
107,Bananas,21,,,,
107,Cherries,22,,,,
107,Plums,23,,,,
107,Orange wedges,24,,,,
107,Cherry tomatoes,25,,,,
107,Carrots,26,,,,
107,Snap peas,27,,,,
107,Edamame,28,,,,
107,Broccoli,29,,,,
107,Fruit cups,30,,,,
107,Applesauce cups,31,,,,
108,Coachella,1,,,,
108,South By Southwest,2,,,,
108,Burning Man,3,,,,
108,Pitchfork Music Festival,4,,,,
108,The Governors Ball Music Festival,5,,,,
108,Lollapalooza,6,,,,
108,Ultra Music Festival,7,,,,
108,Bonnaroo Music and Arts Festival,8,,,,
108,Sasquatch! Music Festival,9,,,,
108,Electric Daisy Carnival Las Vegas,10,,,,
108,Austin City Limits Music Festival,11,,,,
108,Electric Zoo,12,,,,
108,Made In America,13,,,,
108,Electric Forest,14,,,,
108,Afropunk Fest,15,,,,
109,Hunt for dinosaurs at the Field Museum,1,,,,
109,See the fishes at the Shedd Aquarium,2,,,,
109,Go stargazing at Adler Planetarium,3,,,,
109,Ride on a ferris wheel at Navy Pier,4,,,,
109,Go shopping at Water Tower Place,5,,,,
109,See the Bean at Millennium Park,6,,,,
109,Visit the Lincoln Park Zoo,7,,,,
109,Take a cruise along the Chicago River,8,,,,
109,Stay at a hotel with an indoor pool,9,,,,
109,Or try a hotel with a family suite,10,,,,
110,Slow-Cooker Apple Cider Pulled Pork,1,,,,
110,Slow-Cooker Curried Chicken Salad,2,,,,
110,Tangy Sloppy Joe’s,3,,,,
110,Slow-Cooker Chipotle Beef Tacos With Cabbage and Radish Slaw,4,,,,
110,Chicken Caesar Sandwich,5,,,,
110,Barbecue Ribs in the Crock-Pot,6,,,,
110,Slow-Cooker Southwestern Quinoa,7,,,,
110,Crock-Pot Baked Beans,8,,,,
110,Slow-Cooker Lemon Poppy Seed Cake,9,,,,
110,Triple Chocolate Brownies,10,,,,
111,Grand Prismatic Springs - Yellowstone National Park,1,,,,
111,Kilauea Volcano at Hawaii Volcanoes National Park,2,,,,
111,Thurston Lava Tube at Hawaii Volcanoes National Park,3,,,,
111,"Portland Head Light in Cape Elizabeth, Maine",4,,,,
111,"Togiak National Wildlife Refuge, Alaska",5,,,,
111,"Salt Lake Temple and Tabernacle in Salt Lake City, Utah",6,,,,
111,"Garden of the Gods in Colorado Springs, Colorado",7,,,,
111,"Gila Cliff Dwellings in Catron, New Mexico",8,,,,
111,"Palouse Falls in Franklin/Whitman Counties, Washington",9,,,,
111,"Windsor Ruins in Claiborne County, Mississippi",10,,,,
111,"Painted Hills in Wheeler County, Oregon",11,,,,
111,"White Sands National Monument in Alamogordo, New Mexico",12,,,,
111,"Horseshoe Bend near Page, Arizona",13,,,,
111,"Castle Rock in Gove County, Kansas",14,,,,
111,"Mount Hood National Forest, Oregon",15,,,,
111,"Skagit Valley tulip fields in Mount Vernon, Washington",16,,,,
111,"Mesquite Flat Sand Dunes in Death Valley National Park, California",17,,,,
111,"Gillette Castle State Park in East Haddam, Connecticut",18,,,,
111,"Canyon de Chelly National Monument in Apache County, Arizona",19,,,,
112,Backpack,1,,,,
112,Lunchbag,2,,,,
112,#2 Pencils,3,,,,
112,Eraser,4,,,,
112,Pencil Box or Pencil Pouch,5,,,,
112,Pencil Sharpener,6,,,,
112,Pens,7,,,,
112,Colored Pencils,8,,,,
112,Highlighters,9,,,,
112,12 inch Ruler,10,,,,
112,5 inch Blunt Tip or Point Tip Scissors,11,,,,
112,Gluestick,12,,,,
112,4 oz. Glue,13,,,,
112,Wide Ruled 1 Subject Notebook,14,,,,
112,Composition Notebook,15,,,,
112,Loose Leaf Filler Paper Wide Rule,16,,,,
112,Folders,17,,,,
112,3 Ring Binder or Zipper Binder,18,,,,
112,Crayons,19,,,,
112,Markers,20,,,,
112,Watercolor Paint,21,,,,
112,Ruled Index Cards,22,,,,
112,Compass with Measuring Guide,23,,,,
112,Book Covers or BookSox,24,,,,
112,Tissues,25,,,,
112,Antibacterial Hand Sanitizer,26,,,,
113,Begyle Brewing Company,1,,,,
113,Dovetail Brewery,2,,,,
113,312 Chicago,3,,,,
113,Benchmark,4,,,,
113,freestyle food+drink,5,,,,
113,The Dock at Montrose Beach,6,,,,
113,Clark Street Ale House,7,,,,
113,Parson’s Chicken & Fish,8,,,,
113,Spoke & Bird,9,,,,
113,Big Star,10,,,,
113,Hopewell Brewing Co.,11,,,,
